,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
57,DZA,Algeria,Télagh,WKS0068922,12.0,34.692,-0.601,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,22.61,22.44,22.98,22.83,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
58,DZA,Algeria,Zaouiet Kounta,WKS0068906,6.0,27.241,-0.174,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,10.49,10.43,10.41,10.57,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
59,AGO,Angola,Biopio,WRI1023002,22.8,-12.4706,13.7319,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1014555,,,,,,,,,,,,,,64.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
60,AGO,Angola,Biopio (hydro),WRI1023001,14.6,-12.4706,13.7319,Hydro,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1014555,,,,,,,,,,60.76,50.79,49.87,80.7,48.53,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
61,AGO,Angola,Cambambe,WRI1023003,180.0,-9.7523,14.4809,Hydro,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,,,,,,,,,,,573.81,732.53,709.84,604.31,678.19,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
62,AGO,Angola,Capanda,WRI1023004,520.0,-9.7955,15.4672,Hydro,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1014558,,,,,,,,,,1450.81,1919.52,1853.98,1538.35,1746.62,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
63,AGO,Angola,Cazenga,WRI1023005,132.0,-8.8383,13.2344,Gas,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1014567,,,,,,,,,,,,,,0.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
64,AGO,Angola,Huambo,WRI1023006,16.26,-12.76,15.75,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,,,,,,,,,,,,,,,46.3,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
65,AGO,Angola,Lobito,WRI1023007,20.0,-12.37,13.57,Gas,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1014566,,,,,,,,,,,,,,0.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
66,AGO,Angola,Luanda Diesel,WRI1023008,58.0,-8.8383,13.2344,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1104965,,,,,,,,,,,,,,165.16,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
